TV Rank,TV Name,Year of Release,IMDB Rating,Runtime,Genre,Rated
10,Little House on the Prairie,1974-1983,7.5,60,"
Drama, Family, Romance            ",TV-PG
11,Walker,2021- ,6.1,42,"
Action, Crime, Drama            ",TV-14
12,The Ranch,2016-2020,7.5,30,"
Comedy, Drama, Western            ",TV-MA
13,"Yellowstone Spinoff, 6666",,N/A,N/A,"
Drama, Western            ",N/A
14,Joe Pickett,2021- ,7.7,50,"
Drama, Western            ",TV-14
15,Walker: Independence,2022- ,6.9,42,"
Action, Crime, Drama            ",TV-14
16,"Dr. Quinn, Medicine Woman",1993-1998,6.8,60,"
Drama, Family, Western            ",TV-G
17,Wagon Train,1957-1965,7.5,75,"
Western            ",TV-PG
18,Bonanza,1959-1973,7.3,49,"
Western            ",TV-PG
19,Lonesome Dove,1989,8.7,384,"
Adventure, Drama, Western            ",TV-14
20,"Walker, Texas Ranger",1993-2001,5.5,43,"
Action, Adventure, Crime            ",TV-PG
21,Billy the Kid,2022- ,7.2,49,"
Adventure, Biography, Drama            ",TV-MA
22,Hell on Wheels,2011-2016,8.3,42,"
Drama, Western            ",TV-14
23,The Virginian,1962-1971,7.6,75,"
Western            ",TV-PG
24,Tales of Wells Fargo,1957-1962,7.9,60,"
Western            ",TV-14
25,The Son,2017-2019,7.5,44,"
Drama, History, Western            ",TV-14
26,The Wild Wild West,1965-1969,8.1,50,"
Action, Adventure, Western            ",TV-PG
27,Rawhide,1959-1965,8,50,"
Western            ",TV-PG
28,The Adventures of Puss in Boots,2015-2018,6.6,23,"
Animation, Action, Adventure            ",TV-Y7
29,Frontier,2016-2018,7.1,60,"
Adventure, Drama, History            ",TV-MA
30,The Rifleman,1958-1963,8.3,30,"
Family, Western            ",TV-PG
31,Hatfields & McCoys,2012,7.9,290,"
Drama, History, Romance            ",TV-14
32,Wynonna Earp,2016-2021,7.3,43,"
Action, Drama, Fantasy            ",TV-14
33,Cheyenne,1955-1963,8,60,"
Western            ",TV-G
34,That Dirty Black Bag,2022- ,7.1,50,"
Drama, Western            ",TV-MA
35,Kung Fu,1972-1975,7.6,60,"
Adventure, Drama, Western            ",TV-PG
36,Have Gun - Will Travel,1957-1963,8.4,25,"
Western            ",Approved
37,The Big Valley,1965-1969,7.6,60,"
Drama, Western            ",TV-PG
38,Maverick,1957-1962,8.1,60,"
Comedy, Western            ",TV-14
39,Lawman,1958-1962,8.1,30,"
Western            ",N/A
40,Into the West,2005,8,552,"
Adventure, Drama, Romance            ",TV-14
41,The High Chaparral,1967-1971,7.6,60,"
Western            ",PG
42,Django,2023- ,N/A,N/A,"
Drama, Western            ",N/A
43,The Young Riders,1989-1992,7.7,60,"
Romance, Western            ",TV-PG
44,"The Adventures of Brisco County, Jr.",1993-1994,8.3,45,"
Action, Adventure, Comedy            ",TV-14
45,Daniel Boone,1964-1970,7.3,60,"
Adventure, Western            ",TV-PG
46,Wanted: Dead or Alive,1958-1961,8,30,"
Western            ",TV-PG
47,Damnation,2017-2018,7.6,60,"
Crime, Drama, Western            ",TV-MA
48,The Good Lord Bird,2020,7.6,335,"
Drama, War, Western            ",TV-MA
49,Zorro,1957-1959,8.2,30,"
Action, Adventure, Comedy            ",TV-G
50,Centennial,1978-1979,8.4,"1,256","
Action, Adventure, Drama            ",TV-PG
1,Money Heist,2017-2021,8.2,70,"
Action, Crime, Drama            ",TV-MA
2,Shantaram,2022,7.5,52,"
Action, Adventure, Crime            ",TV-MA
3,NYPD Blue,1993-2005,7.7,45,"
Crime, Drama, Mystery            ",TV-14
4,Barbarians,2020- ,7.2,280,"
Action, Adventure, Drama            ",TV-MA
5,Matlock,1986-1995,7,60,"
Crime, Drama, Mystery            ",TV-PG
6,The Syndicate,I) (2012- ,7.4,60,"
Drama, Mystery            ",TV-14
7,Money Heist: Korea - Joint Economic Area,2022- ,5.5,60,"
Action, Crime, Drama            ",TV-MA
8,Hunter,I) (1984-1991,6.8,48,"
Action, Crime, Drama            ",TV-14
9,Kung Fu,1972-1975,7.6,60,"
Adventure, Drama, Western            ",TV-PG
10,The Sweeney,1974-1978,8.1,60,"
Action, Comedy, Crime            ",TV-PG
11,Dead End,2022,6.1,28,"
Comedy, Crime, Drama            ",TV-MA
12,Cops,1989-2022,6.9,30,"
Action, Crime, Reality-TV            ",TV-14
13,Unsolved Mysteries,1987-2010,8.2,60,"
Documentary, Crime, Drama            ",TV-PG
14,Tombstone Territory,1957-1960,7.9,30,"
Western            ",TV-PG
15,Police Squad!,1982,8.4,24,"
Comedy, Crime            ",TV-PG
16,Invader ZIM,2001-2006,8.4,24,"
Animation, Action, Adventure            ",TV-Y7
17,Power Rangers Time Force,2001,6.9,30,"
Action, Adventure, Crime            ",TV-Y7
18,Blackadder the Third,1987,8.6,180,"
Comedy            ",TV-PG
19,Super Crooks,2021- ,7.1,30,"
Animation, Action, Adventure            ",TV-MA
20,Rumpole of the Bailey,1978-1992,8.4,60,"
Crime, Drama, Mystery            ",Not Rated
21,Blood & Oil,2015,6.5,42,"
Crime, Drama, Romance            ",TV-PG
22,De Dag,2018,8.3,60,"
Action, Crime, Drama            ",N/A
23,The Machinery,2020- ,6.3,45,"
Action, Mystery, Thriller            ",N/A
24,The Quest,1976,7.1,60,"
Western            ",TV-PG
25,Lupin the 3rd,1977-1980,8,30,"
Animation, Action, Adventure            ",TV-PG
26,When Things Were Rotten,1975,7.3,30,"
Adventure, Comedy            ",N/A
27,Lupin the Third,1971-1972,7.9,23,"
Animation, Action, Adventure            ",TV-PG
28,Mike Hammer,1958-1959,8.2,30,"
Action, Crime, Drama            ",N/A
29,The Cisco Kid,1950-1956,7.1,30,"
Western            ",Approved
30,The Great Heist,2020,7.3,N/A,"
Crime, Drama, Thriller            ",TV-MA
31,Culprits,2023- ,N/A,N/A,"
Comedy, Crime, Thriller            ",N/A
32,Dick Turpin,1979-1982,7.4,30,"
Action, Adventure, Biography            ",N/A
33,The Rebel,1959-1961,7.8,30,"
Western            ",Approved
34,Palomino,,N/A,N/A,"
Action, Adventure, Thriller            ",N/A
35,Salamander,2012-2018,7.5,40,"
Crime, Drama, Thriller            ",N/A
36,The Outcasts,1968-1969,7.4,60,"
Western            ",N/A
37,Lupin the Third: The Woman Called Fujiko Mine,2012,7.8,20,"
Animation, Action, Adventure            ",TV-MA
38,Lupin III,2018,7.8,22,"
Animation, Adventure, Comedy            ",N/A
39,Smith,2006-2007,7.8,60,"
Crime, Drama, Thriller            ",TV-14
40,Arsène Lupin,1971-1974,7.6,52,"
Adventure, Comedy            ",N/A
41,Les Misérables,1934,8.4,281,"
Drama            ",Not Rated
42,Stagecoach West,1960-1961,7.4,60,"
Western            ",N/A
43,Johnny Staccato,1959-1960,8.1,24,"
Crime, Drama, Mystery            ",N/A
44,Born from the Flank: Wilada Min Alkhasira,2011-2013,8.6,N/A,"
Action, Crime, Drama            ",N/A
45,Whispering Smith,1961,7.4,30,"
Western            ",TV-PG
46,The Knights of Prosperity,2007- ,7.7,30,"
Comedy, Crime            ",N/A
47,Lupin III,2015,7.7,22,"
Animation, Action, Adventure            ",TV-PG
48,Alcatraz: The Whole Shocking Story,1980- ,7.2,196,"
Action, Crime, Drama            ",N/A
49,To Be the Best,1991- ,4.9,192,"
Drama            ",N/A
50,The Golden Eyes,2019- ,6.5,45,"
Action, Adventure, Crime            ",N/A
1,The Boys,2019- ,8.7,60,"
Action, Comedy, Crime            ",TV-MA
2,Doom Patrol,2019- ,7.8,60,"
Action, Adventure, Comedy            ",TV-MA
3,The Mandalorian,2019- ,8.7,40,"
Action, Adventure, Fantasy            ",TV-14
4,The Flash,2014-2023,7.6,43,"
Action, Adventure, Drama            ",TV-PG
5,The Sandman,2022- ,7.7,45,"
Drama, Fantasy, Horror            ",TV-MA
6,Titans,I) (2018- ,7.6,45,"
Action, Adventure, Crime            ",TV-MA
7,One Piece,1999- ,8.9,24,"
Animation, Action, Adventure            ",TV-14
8,The Umbrella Academy,2019-2023,7.9,60,"
Action, Adventure, Comedy            ",TV-14
9,My Hero Academia,2016- ,8.4,24,"
Animation, Action, Adventure            ",TV-14
10,Smallville,2001-2011,7.5,60,"
Action, Adventure, Drama            ",TV-PG
11,Warrior Nun,2020-2022,7,N/A,"
Action, Drama, Fantasy            ",TV-MA
12,She-Hulk: Attorney at Law,2022,5.2,35,"
Action, Adventure, Comedy            ",TV-14
13,Arrow,2012-2020,7.5,42,"
Action, Adventure, Crime            ",TV-14
14,Avatar: The Last Airbender,2005-2008,9.3,23,"
Animation, Action, Adventure            ",TV-Y7-FV
15,Daredevil,2015-2018,8.6,54,"
Action, Crime, Drama            ",TV-MA
16,Peacemaker,2022- ,8.3,40,"
Action, Adventure, Comedy            ",TV-MA
17,Riverdale,2017- ,6.6,45,"
Crime, Drama, Mystery            ",TV-14
18,Loki,2021- ,8.2,53,"
Action, Adventure, Fantasy            ",TV-14
19,The Punisher,2017-2019,8.5,53,"
Action, Crime, Drama            ",TV-MA
20,The Book of Boba Fett,2021- ,7.3,38,"
Action, Adventure, Sci-Fi            ",TV-14
21,Gotham,2014-2019,7.8,42,"
Action, Crime, Drama            ",TV-14
22,Ash vs Evil Dead,2015-2018,8.4,30,"
Action, Comedy, Fantasy            ",TV-MA
23,Invincible,2021- ,8.7,50,"
Animation, Action, Adventure            ",TV-MA
24,Agents of S.H.I.E.L.D.,2013-2020,7.5,45,"
Action, Adventure, Drama            ",TV-PG
25,The Legend of Vox Machina,2022- ,8.4,30,"
Animation, Action, Adventure            ",TV-MA
26,Bleach,2004-2012,8.2,24,"
Animation, Action, Adventure            ",TV-14
27,JoJo's Bizarre Adventure,2012- ,8.5,24,"
Animation, Action, Adventure            ",TV-14
28,SpongeBob SquarePants,1999- ,8.2,23,"
Animation, Comedy, Family            ",TV-Y7
29,Naruto: Shippuden,2007-2017,8.7,24,"
Animation, Action, Adventure            ",TV-PG
30,Chilling Adventures of Sabrina,2018-2020,7.4,60,"
Drama, Fantasy, Horror            ",TV-14
31,Doctor Who,1963-1989,8.4,45,"
Adventure, Drama, Family            ",TV-PG
32,Pennyworth,2019- ,7.9,60,"
Action, Crime, Drama            ",TV-MA
33,Mob Psycho 100,2016-2022,8.6,24,"
Animation, Action, Comedy            ",TV-14
34,Superman & Lois,2021- ,7.8,42,"
Action, Adventure, Drama            ",TV-PG
35,Heroes,II) (2006-2010,7.5,45,"
Drama, Fantasy, Sci-Fi            ",TV-14
36,Fate: The Winx Saga,2021-2022,6.8,N/A,"
Action, Adventure, Drama            ",TV-MA
37,Supergirl,2015-2021,6.2,43,"
Action, Adventure, Drama            ",TV-PG
38,The OA,2016-2019,7.8,60,"
Drama, Fantasy, Mystery            ",TV-MA
39,Miraculous: Tales of Ladybug & Cat Noir,2015- ,7.6,20,"
Animation, Action, Adventure            ",TV-Y7
40,Naruto,2002-2007,8.4,24,"
Animation, Action, Adventure            ",TV-PG
41,Watchmen,2019,8.2,527,"
Crime, Drama, Mystery            ",TV-MA
42,Quantum Leap,1989-1993,8.2,60,"
Action, Adventure, Drama            ",TV-PG
43,DC's Legends of Tomorrow,2016-2022,6.8,42,"
Action, Adventure, Drama            ",TV-14
44,Blindspot,2015-2020,7.3,42,"
Action, Crime, Drama            ",TV-14
45,Fullmetal Alchemist: Brotherhood,2009-2010,9.1,24,"
Animation, Action, Adventure            ",TV-14
46,Harley Quinn,2019- ,8.5,23,"
Animation, Action, Adventure            ",TV-14
47,Batman: The Animated Series,1992-1995,9,23,"
Animation, Action, Adventure            ",TV-PG
48,Sense8,2015-2018,8.2,60,"
Drama, Mystery, Sci-Fi            ",TV-MA
49,Legion,2017-2019,8.2,60,"
Action, Drama, Sci-Fi            ",TV-MA
50,Scorpion,2014-2018,7,43,"
Action, Crime, Drama            ",TV-14
1,Game of Thrones,2011-2019,9.2,57,"
Action, Adventure, Drama            ",TV-MA
2,Happy Valley,2014-2023,8.5,58,"
Crime, Drama, Thriller            ",TV-MA
3,Breaking Bad,2008-2013,9.5,49,"
Crime, Drama, Thriller            ",TV-MA
4,Better Call Saul,2015-2022,8.9,46,"
Crime, Drama            ",TV-MA
5,The Sopranos,1999-2007,9.2,55,"
Crime, Drama            ",TV-MA
6,Grey's Anatomy,2005- ,7.6,41,"
Drama, Romance            ",TV-14
7,Peaky Blinders,2013-2022,8.8,60,"
Crime, Drama            ",TV-MA
8,Supernatural,2005-2020,8.4,44,"
Drama, Fantasy, Horror            ",TV-14
9,Friends,1994-2004,8.9,22,"
Comedy, Romance            ",TV-14
10,The Big Bang Theory,2007-2019,8.2,22,"
Comedy, Romance            ",TV-PG
11,Rick and Morty,2013- ,9.1,23,"
Animation, Adventure, Comedy            ",TV-14
12,Bones,2005-2017,7.8,40,"
Comedy, Crime, Drama            ",TV-14
13,Modern Family,2009-2020,8.5,22,"
Comedy, Drama, Romance            ",TV-PG
14,Vikings,2013-2020,8.5,44,"
Action, Adventure, Drama            ",TV-MA
15,Young Sheldon,2017- ,7.6,30,"
Comedy            ",TV-PG
16,True Detective,2014-2019,8.9,55,"
Crime, Drama, Mystery            ",TV-MA
17,Big Sky,2020- ,6.8,60,"
Crime, Drama, Mystery            ",TV-14
18,Family Guy,1999- ,8.2,22,"
Animation, Comedy            ",TV-MA
19,New Amsterdam,2018-2023,8,43,"
Drama            ",TV-14
20,Dead to Me,2019-2022,8,30,"
Comedy, Crime, Drama            ",TV-MA
21,Step by Step,1991-1998,6.5,30,"
Comedy, Family, Romance            ",TV-G
22,The Watcher,2022- ,6.5,332,"
Drama, Horror, Mystery            ",TV-MA
23,Outlander,2014- ,8.4,60,"
Drama, Fantasy, Romance            ",TV-MA
24,Ozark,2017-2022,8.5,60,"
Crime, Drama, Thriller            ",TV-MA
25,Lost,2004-2010,8.3,44,"
Adventure, Drama, Fantasy            ",TV-14
26,The Simpsons,1989- ,8.7,22,"
Animation, Comedy            ",TV-14
27,Call the Midwife,2012- ,8.6,60,"
Drama, History            ",TV-PG
28,That '70s Show,1998-2006,8.1,22,"
Comedy, Drama, Romance            ",TV-14
29,Chicago Fire,2012- ,8,43,"
Action, Drama            ",TV-14
30,Fargo,2014- ,8.9,53,"
Crime, Drama, Thriller            ",TV-MA
31,George & Tammy,2022-2023,7.6,48,"
Biography, Drama, History            ",TV-MA
32,Sons of Anarchy,2008-2014,8.6,45,"
Crime, Drama, Thriller            ",TV-MA
33,The Old Man,2022- ,7.6,61,"
Action, Drama, Thriller            ",TV-MA
34,Dexter,2006-2013,8.7,53,"
Crime, Drama, Mystery            ",TV-MA
35,What We Do in the Shadows,2019- ,8.6,30,"
Comedy, Fantasy, Horror            ",TV-MA
36,Mad Men,2007-2015,8.7,47,"
Drama            ",TV-MA
37,This Is Us,2016-2022,8.7,45,"
Comedy, Drama, Romance            ",TV-14
38,Downton Abbey,2010-2015,8.7,58,"
Drama, Romance            ",TV-PG
39,Smallville,2001-2011,7.5,60,"
Action, Adventure, Drama            ",TV-PG
40,Curb Your Enthusiasm,2000- ,8.8,28,"
Comedy            ",TV-MA
41,Banshee,2013-2016,8.4,60,"
Action, Crime, Drama            ",TV-MA
42,The Mentalist,2008-2015,8.1,43,"
Crime, Drama, Mystery            ",TV-14
43,Schitt's Creek,2015-2020,8.5,22,"
Comedy            ",TV-14
44,Homeland,2011-2020,8.3,55,"
Crime, Drama, Mystery            ",TV-MA
45,Bob's Burgers,2011- ,8.2,22,"
Animation, Comedy            ",TV-14
46,Mr. Robot,2015-2019,8.6,49,"
Crime, Drama, Thriller            ",TV-MA
47,BoJack Horseman,2014-2020,8.8,25,"
Animation, Comedy, Drama            ",TV-MA
48,Billions,2016- ,8.4,60,"
Drama            ",TV-MA
49,The Addams Family,1964-1966,8,30,"
Comedy, Family, Horror            ",TV-G
50,Star Wars: The Clone Wars,2008-2020,8.4,23,"
Animation, Action, Adventure            ",TV-PG
1,Tulsa King,2022- ,8.3,40,"
Crime, Drama            ",TV-MA
2,Breaking Bad,2008-2013,9.5,49,"
Crime, Drama, Thriller            ",TV-MA
3,Better Call Saul,2015-2022,8.9,46,"
Crime, Drama            ",TV-MA
4,The Sopranos,1999-2007,9.2,55,"
Crime, Drama            ",TV-MA
5,Mayor of Kingstown,2021- ,8.2,N/A,"
Crime, Drama, Thriller            ",TV-MA
6,Las Vegas,2003-2008,7.4,60,"
Crime, Drama            ",TV-14
7,The Blacklist,2013- ,8,43,"
Crime, Drama, Mystery            ",TV-14
8,Copenhagen Cowboy,2022-2023,6.8,312,"
Crime, Drama, Thriller            ",TV-MA
9,The Wire,2002-2008,9.3,59,"
Crime, Drama, Thriller            ",TV-MA
10,Your Honor,II) (2020-2023,7.6,57,"
Crime, Drama, Thriller            ",TV-MA
11,Ozark,2017-2022,8.5,60,"
Crime, Drama, Thriller            ",TV-MA
12,Sons of Anarchy,2008-2014,8.6,45,"
Crime, Drama, Thriller            ",TV-MA
13,Shantaram,2022,7.5,52,"
Action, Adventure, Crime            ",TV-MA
14,Barry,2018- ,8.4,30,"
Action, Comedy, Crime            ",TV-MA
15,Banshee,2013-2016,8.4,60,"
Action, Crime, Drama            ",TV-MA
16,Gangs of London,2020- ,8.1,60,"
Action, Crime, Drama            ",TV-MA
17,Tokyo Vice,2022- ,8,60,"
Crime, Drama, Thriller            ",TV-MA
18,Mr. Robot,2015-2019,8.6,49,"
Crime, Drama, Thriller            ",TV-MA
19,Daredevil,2015-2018,8.6,54,"
Action, Crime, Drama            ",TV-MA
20,Narcos,2015-2017,8.8,49,"
Biography, Crime, Drama            ",TV-MA
21,Animal Kingdom,2016-2022,8.2,60,"
Crime, Drama            ",TV-MA
22,Boardwalk Empire,2010-2014,8.6,55,"
Crime, Drama            ",TV-MA
23,Gotham,2014-2019,7.8,42,"
Action, Crime, Drama            ",TV-14
24,Babylon Berlin,2017- ,8.4,45,"
Crime, Drama, Thriller            ",TV-MA
25,Deadwood,2004-2006,8.6,55,"
Crime, Drama, History            ",TV-MA
26,Law & Order: Organized Crime,2021- ,7.7,42,"
Crime, Drama, Mystery            ",TV-14
27,Good Girls,2018-2021,7.7,43,"
Comedy, Crime, Drama            ",TV-14
28,The Outlaws,2021- ,7.7,N/A,"
Comedy, Crime, Drama            ",TV-MA
29,Mayans M.C.,2018- ,7.6,60,"
Crime, Drama, Thriller            ",TV-MA
30,The Cleaning Lady,2022- ,7,45,"
Crime, Drama, Thriller            ",TV-MA
31,Pennyworth,2019- ,7.9,60,"
Action, Crime, Drama            ",TV-MA
32,Narcos: Mexico,2018-2021,8.4,50,"
Crime, Drama            ",TV-MA
33,Ray Donovan,2013-2020,8.3,60,"
Crime, Drama            ",TV-MA
34,Power,I) (2014-2020,8.1,50,"
Crime, Drama            ",TV-MA
35,Leverage,2008-2012,7.9,42,"
Crime, Mystery, Thriller            ",TV-PG
36,Queen of the South,2016-2021,8,42,"
Action, Crime, Drama            ",TV-MA
37,Mr Inbetween,2018-2021,8.6,30,"
Crime, Drama            ",TV-MA
38,Blindspot,2015-2020,7.3,42,"
Action, Crime, Drama            ",TV-14
39,Scorpion,2014-2018,7,43,"
Action, Crime, Drama            ",TV-14
40,Jessica Jones,2015-2019,7.9,56,"
Action, Crime, Drama            ",TV-MA
41,Miami Vice,1984-1989,7.5,48,"
Action, Crime, Drama            ",TV-14
42,Tehran,2020- ,7.6,45,"
Action, Crime, Drama            ",TV-MA
43,City on a Hill,2019-2022,7.6,60,"
Crime, Drama, Thriller            ",TV-MA
44,The Deuce,2017-2019,8.1,60,"
Drama            ",TV-MA
45,Cowboy Bebop,1998-1999,8.9,24,"
Animation, Action, Adventure            ",TV-14
46,MacGyver,1985-1992,7.7,48,"
Action, Adventure, Crime            ",TV-PG
47,Cowboy Bebop,2021,6.7,58,"
Action, Adventure, Comedy            ",TV-MA
48,Batman,1966-1968,7.5,25,"
Action, Adventure, Comedy            ",TV-G
49,Power Book II: Ghost,2020- ,7.3,60,"
Crime, Drama            ",TV-MA
50,Power Book IV: Force,2022- ,8.1,57,"
Crime, Drama            ",TV-MA
1,The Last of Us,2023- ,9.6,N/A,"
Action, Adventure, Drama            ",TV-MA
2,The Walking Dead,2010-2022,8.1,44,"
Drama, Horror, Thriller            ",TV-MA
3,Fear the Walking Dead,2015-2023,6.8,44,"
Drama, Horror, Sci-Fi            ",TV-MA
4,Alchemy of Souls,2022- ,8.8,80,"
Action, Drama, Fantasy            ",Approved
5,All of Us Are Dead,2022- ,7.5,60,"
Action, Drama, Fantasy            ",TV-MA
6,Gravity Falls,2012-2016,8.9,23,"
Animation, Action, Adventure            ",TV-Y7
7,iZombie,2015-2019,7.8,42,"
Comedy, Crime, Drama            ",TV-14
8,The Kingdom,1994-2022,8.3,561,"
Comedy, Drama, Fantasy            ",TV-MA
9,Santa Clarita Diet,2017-2019,7.8,30,"
Comedy, Horror            ",TV-MA
10,Kingdom,2019- ,8.3,45,"
Action, Drama, Horror            ",TV-MA
11,Resident Evil,2022,4.1,60,"
Action, Horror, Sci-Fi            ",TV-MA
12,Black Summer,2019-2021,6.6,40,"
Action, Drama, Horror            ",TV-MA
13,Z Nation,2014-2018,6.7,44,"
Action, Comedy, Drama            ",TV-14
14,The Walking Dead: World Beyond,2020-2021,4.4,60,"
Drama, Horror, Sci-Fi            ",TV-MA
15,Tales of the Walking Dead,2022- ,5.9,44,"
Drama, Fantasy, Horror            ",TV-MA
16,Army of the Dead: Lost Vegas,2023- ,N/A,N/A,"
Animation, Action, Crime            ",TV-MA
17,Untitled Rick & Michonne Spin-Off,,N/A,N/A,"
Drama, Horror, Sci-Fi            ",N/A
18,Daybreak,I) (2019,6.7,60,"
Action, Adventure, Comedy            ",TV-MA
19,Happiness,2021- ,7.9,65,"
Action, Fantasy, Horror            ",TV-14
20,The Walking Dead: Daryl Dixon,,N/A,N/A,"
Horror            ",N/A
21,Highschool of the Dead,2010,7.2,24,"
Animation, Action, Drama            ",TV-MA
22,The Powerpuff Girls,1998-2004,7.3,30,"
Animation, Action, Adventure            ",TV-Y7-FV
23,Helix,2014-2015,6.7,40,"
Drama, Horror, Mystery            ",TV-PG
24,Dorohedoro,2020,8.1,25,"
Animation, Action, Comedy            ",TV-MA
25,Dead End: Paranormal Park,2022,6.9,30,"
Animation, Short, Adventure            ",TV-Y7
26,ReBoot,1994-2001,7.9,30,"
Animation, Action, Adventure            ",TV-Y7
27,A Korean Odyssey,2017-2018,8,75,"
Comedy, Fantasy, Horror            ",N/A
28,The Walking Dead: Webisodes,2011-2018,7.7,15,"
Short, Drama, Horror            ",TV-MA
29,Day of the Dead,2021,4.7,43,"
Action, Drama, Horror            ",TV-MA
30,Resident Evil: Infinite Darkness,2021- ,5.7,26,"
Animation, Action, Horror            ",TV-MA
31,Marvel Zombies,,N/A,N/A,"
Animation, Action, Adventure            ",N/A
32,In the Flesh,2013-2014,7.9,56,"
Comedy, Drama, Horror            ",TV-14
33,Ugly Americans,2010-2012,8,30,"
Animation, Comedy, Fantasy            ",TV-MA
34,Panty & Stocking with Garterbelt,2010-2011,7.3,23,"
Animation, Action, Comedy            ",TV-MA
35,The Last Kids on Earth,2019- ,7.3,N/A,"
Animation, Adventure, Comedy            ",TV-Y7-FV
36,Zombie House Flipping,2016- ,5.4,43,"
Reality-TV            ",TV-PG
37,Yu-Gi-Oh! Duel Monsters,II) (2000-2004,8.2,23,"
Animation, Action, Adventure            ",TV-PG
38,Reality Z,2020,5.6,30,"
Comedy, Horror            ",TV-MA
39,Gungrave,2003-2004,7.9,25,"
Animation, Action, Crime            ",TV-14
40,Curfew,2019,6.1,60,"
Action, Crime, Drama            ",TV-MA
41,S.O.Z: Soldados o Zombies,2021- ,5.4,45,"
Action, Horror, Sci-Fi            ",N/A
42,Betaal,2020- ,5.4,46,"
Action, Horror, Thriller            ",TV-MA
43,Sankarea,2012,6.7,24,"
Animation, Comedy, Drama            ",TV-MA
44,Zombie Detective,2020,7.4,30,"
Comedy, Fantasy, Mystery            ",N/A
45,Zombieland Saga,2018- ,7.1,24,"
Animation, Comedy, Fantasy            ",TV-MA
46,We're Alive,2009- ,9.3,N/A,"
Drama, Horror            ",N/A
47,Death Valley,2011,7.7,22,"
Comedy, Horror            ",TV-14
48,Dark Hole,2021- ,6.1,60,"
Action, Fantasy, Mystery            ",N/A
49,BuzzFeed Unsolved: Supernatural,2016-2021,8.7,N/A,"
Adventure, Comedy, Horror            ",Not Rated
50,The Outcast,2015-2021,6.9,N/A,"
Animation, Fantasy            ",N/A
1,Game of Thrones,2011-2019,9.2,57,"
Action, Adventure, Drama            ",TV-MA
2,Reacher,2022- ,8.1,49,"
Action, Crime, Drama            ",TV-MA
3,New Amsterdam,2018-2023,8,43,"
Drama            ",TV-14
4,Guillermo del Toro's Cabinet of Curiosities,2022- ,7.1,60,"
Drama, Horror, Mystery            ",TV-MA
5,Firefly Lane,2021-2023,7.4,N/A,"
Drama, Romance            ",TV-MA
6,George & Tammy,2022-2023,7.6,48,"
Biography, Drama, History            ",TV-MA
7,SAS Rogue Heroes,2022,8.2,52,"
Action, Drama, Thriller            ",TV-MA
8,True Blood,2008-2014,7.9,55,"
Drama, Fantasy, Mystery            ",TV-MA
9,The Vampire Diaries,2009-2017,7.7,43,"
Drama, Fantasy, Horror            ",TV-14
10,Woman of the Dead,2022- ,6.8,45,"
Crime, Drama, Mystery            ",TV-MA
11,The 100,2014-2020,7.6,43,"
Drama, Mystery, Sci-Fi            ",TV-14
12,Tokyo Vice,2022- ,8,60,"
Crime, Drama, Thriller            ",TV-MA
13,The Wheel of Time,2021- ,7.1,60,"
Action, Adventure, Drama            ",TV-14
14,Sex and the City,1998-2004,7.3,30,"
Comedy, Drama, Romance            ",TV-MA
15,Perry Mason,1957-1966,8.3,60,"
Crime, Drama, Mystery            ",TV-PG
16,Boardwalk Empire,2010-2014,8.6,55,"
Crime, Drama            ",TV-MA
17,Friday Night Lights,2006-2011,8.7,44,"
Drama, Sport            ",TV-14
18,Carnival Row,2019-2023,7.8,56,"
Crime, Drama, Fantasy            ",TV-MA
19,Virgin River,2019- ,7.4,44,"
Drama, Romance            ",TV-14
20,The Man in the High Castle,2015-2019,7.9,60,"
Drama, Sci-Fi, Thriller            ",TV-MA
21,Good Omens,2019-2023,8,328,"
Comedy, Fantasy            ",TV-MA
22,Winning Time: The Rise of the Lakers Dynasty,2022- ,8.3,59,"
Biography, Drama, Sport            ",TV-MA
23,And Just Like That...,2021- ,5.7,40,"
Comedy, Drama, Romance            ",TV-MA
24,Gomorrah,2014-2021,8.7,55,"
Crime, Drama, Thriller            ",TV-MA
25,The Mysterious Benedict Society,2021- ,7.6,N/A,"
Action, Adventure, Comedy            ",TV-PG
26,A Court of Thorns and Roses,,N/A,N/A,"
Fantasy            ",N/A
27,Fresh Off the Boat,2015-2020,7.8,22,"
Comedy            ",TV-PG
28,Wolf Pack,2023- ,N/A,N/A,"
Drama, Fantasy, Horror            ",N/A
29,Marco Polo,2014-2016,8,60,"
Action, Adventure, Drama            ",TV-MA
30,Nancy Drew,2019- ,6.6,44,"
Horror, Mystery            ",TV-14
31,Coroner,2019- ,6.8,60,"
Crime, Drama, Mystery            ",TV-MA
32,Partner Track,2022,6.7,60,"
Drama            ",TV-MA
33,Dirk Gently's Holistic Detective Agency,2016-2017,8.2,60,"
Action, Adventure, Comedy            ",TV-14
34,Alex Rider,2020- ,7.5,45,"
Action, Adventure, Drama            ",TV-14
35,Lockwood & Co,2023- ,N/A,60,"
Action, Adventure, Drama            ",N/A
36,Secret Diary of a Call Girl,2007-2011,7.3,30,"
Drama            ",TV-MA
37,First Kill,2022,6.5,60,"
Drama, Horror, Mystery            ",TV-MA
38,The Durrells,2016-2019,8.2,46,"
Biography, Comedy, Drama            ",TV-PG
39,Homicide: Life on the Street,1993-1999,8.7,60,"
Crime, Drama, Mystery            ",TV-14
